data;

set INATTR :=   staff  showRoom  Population1  Population2  alphaEnquiries  betaEnquiries ;
set OUTATTR :=   alphaSales  BetaSales  profit ;
set DMUS := Winchester Andover Basingstoke Poole Woking Newbury Portsmouth Alresford Salisbury Guildford Alton Weybridge Dorchester Bridport Weymouth Portland Chichester Petersfield Petworth Midhurst Reading Southampton Bournemouth Henley Maidenhead Fareham Romsey Ringwood ;

param: DMU_INATTR: inputs := 
    Winchester	staff	7
    Andover	staff	6
    Basingstoke	staff	2
    Poole	staff	14
    Woking	staff	10
    Newbury	staff	24
    Portsmouth	staff	6
    Alresford	staff	8
    Salisbury	staff	5
    Guildford	staff	8
    Alton	staff	7
    Weybridge	staff	5
    Dorchester	staff	6
    Bridport	staff	11
    Weymouth	staff	4
    Portland	staff	3
    Chichester	staff	5
    Petersfield	staff	21
    Petworth	staff	6
    Midhurst	staff	3
    Reading	staff	30
    Southampton	staff	25
    Bournemouth	staff	19
    Henley	staff	7
    Maidenhead	staff	12
    Fareham	staff	4
    Romsey	staff	2
    Ringwood	staff	2
    Winchester	showRoom	8
    Andover	showRoom	6
    Basingstoke	showRoom	3
    Poole	showRoom	9
    Woking	showRoom	9
    Newbury	showRoom	15
    Portsmouth	showRoom	7
    Alresford	showRoom	7.5
    Salisbury	showRoom	5
    Guildford	showRoom	10
    Alton	showRoom	8
    Weybridge	showRoom	6.5
    Dorchester	showRoom	7.5
    Bridport	showRoom	8
    Weymouth	showRoom	5
    Portland	showRoom	3.5
    Chichester	showRoom	5.5
    Petersfield	showRoom	12
    Petworth	showRoom	5.5
    Midhurst	showRoom	3.6
    Reading	showRoom	29
    Southampton	showRoom	16
    Bournemouth	showRoom	10
    Henley	showRoom	6
    Maidenhead	showRoom	8
    Fareham	showRoom	6
    Romsey	showRoom	2.5
    Ringwood	showRoom	3.5
    Winchester	Population1	10
    Andover	Population1	20
    Basingstoke	Population1	40
    Poole	Population1	20
    Woking	Population1	10
    Newbury	Population1	15
    Portsmouth	Population1	50
    Alresford	Population1	5
    Salisbury	Population1	10
    Guildford	Population1	30
    Alton	Population1	7
    Weybridge	Population1	9
    Dorchester	Population1	10
    Bridport	Population1	8
    Weymouth	Population1	10
    Portland	Population1	3
    Chichester	Population1	8
    Petersfield	Population1	6
    Petworth	Population1	2
    Midhurst	Population1	3
    Reading	Population1	120
    Southampton	Population1	110
    Bournemouth	Population1	90
    Henley	Population1	5
    Maidenhead	Population1	7
    Fareham	Population1	1
    Romsey	Population1	1
    Ringwood	Population1	2
    Winchester	Population2	12
    Andover	Population2	30
    Basingstoke	Population2	40
    Poole	Population2	25
    Woking	Population2	10
    Newbury	Population2	13
    Portsmouth	Population2	40
    Alresford	Population2	8
    Salisbury	Population2	10
    Guildford	Population2	35
    Alton	Population2	8
    Weybridge	Population2	12
    Dorchester	Population2	10
    Bridport	Population2	10
    Weymouth	Population2	10
    Portland	Population2	20
    Chichester	Population2	10
    Petersfield	Population2	6
    Petworth	Population2	2
    Midhurst	Population2	3
    Reading	Population2	80
    Southampton	Population2	80
    Bournemouth	Population2	22
    Henley	Population2	7
    Maidenhead	Population2	10
    Fareham	Population2	1
    Romsey	Population2	1
    Ringwood	Population2	2
    Winchester	alphaEnquiries	8.5
